Name,Author,User Rating,Reviews,Price,Year,Genre,Gender
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,2014,Fiction,Female
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,Non Fiction,Male
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2011,Non Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,Male
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,Male
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,2015,Fiction,Male
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18,2018,Non Fiction,Male
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17,2018,Non Fiction,Male
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2013,Fiction,Male
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2014,Fiction,Male
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,2015,Fiction,Male
Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,Female
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,Female
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,Female
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,Female
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,Female
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,Female
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2012,Non Fiction,Male
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,Male
The Amateur,Edward Klein,4.6,2580,9,2012,Non Fiction,Male
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,2009,Non Fiction,Male
Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,Female
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,Female
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2016,Fiction,Female
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2017,Fiction,Female
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2018,Fiction,Female
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2019,Fiction,Female
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2013,Fiction,Male
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2014,Fiction,Male
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2015,Fiction,Male
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2016,Fiction,Male
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2017,Fiction,Male
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2018,Fiction,Male
